GENE,GWAS,LOC_NUM
MIR2115,META5,14
MIR425,META5,14
MIR4271,META5,14
MIR4443,META5,14
MIR4793,META5,14
MIR6823,META5,14
MIR6824,META5,14
MIR6890,META5,14
MIR711,META5,14
MST1,META5,14
NCKIPSD,META5,14
NDUFAF3,META5,14
NICN1,META5,14
NME6,META5,14
P4HTM,META5,14
PFKFB4,META5,14
PLXNB1,META5,14
PRKAR2A,META5,14
PRKAR2A-AS1,META5,14
QARS,META5,14
QRICH1,META5,14
RHOA,META5,14
RNF123,META5,14
SHISA5,META5,14
SLC25A20,META5,14
SLC26A6,META5,14
SMARCC1,META5,14
SNORA94,META5,14
SPINK8,META5,14
TCTA,META5,14
TMA7,META5,14
TMEM89,META5,14
TREX1,META5,14
UCN2,META5,14
UQCRC1,META5,14
USP19,META5,14
USP4,META5,14
WDR6,META5,14
ZNF589,META5,14
ADCY5,META5,15
ARGFX,META5,15
CASR,META5,15
CCDC58,META5,15
CD86,META5,15
CSTA,META5,15
DTX3L,META5,15
EAF2,META5,15
FAM162A,META5,15
FBXO40,META5,15
GOLGB1,META5,15
HCLS1,META5,15
HSPBAP1,META5,15
ILDR1,META5,15
IQCB1,META5,15
KPNA1,META5,15
LINC02035,META5,15
LOC102723582,META5,15
MIR7110,META5,15
PARP14,META5,15
PARP15,META5,15
PARP9,META5,15
PDIA5,META5,15
POLQ,META5,15
SEC22A,META5,15
SEMA5B,META5,15
SLC15A2,META5,15
SLC49A4,META5,15
WDR5B,META5,15
AADAC,META5,16
AADACL2,META5,16
AADACL2-AS1,META5,16
AADACP1,META5,16
CLRN1,META5,16
CLRN1-AS1,META5,16
EIF2A,META5,16
ERICH6,META5,16
ERICH6-AS1,META5,16
GPR171,META5,16
GPR87,META5,16
IGSF10,META5,16
LOC101928105,META5,16
LOC101928166,META5,16
MBNL1,META5,16
MBNL1-AS1,META5,16
MED12L,META5,16
MINDY4B,META5,16
MIR5186,META5,16
P2RY12,META5,16
P2RY13,META5,16
P2RY14,META5,16
SELENOT,META5,16
SERP1,META5,16
SIAH2,META5,16
SUCNR1,META5,16
TMEM14EP,META5,16
TSC22D2,META5,16
ARL14,META5,17
B3GALNT1,META5,17
IFT80,META5,17
KPNA4,META5,17
LINC02067,META5,17
MIR15B,META5,17
MIR16-2,META5,17
NMD3,META5,17
OTOL1,META5,17
PPM1L,META5,17
SCARNA7,META5,17
SMC4,META5,17
SPTSSB,META5,17
TRIM59,META5,17
TRIM59-IFT80,META5,17
ABCC5,META5,18
ABCC5-AS1,META5,18
ATP11B,META5,18
B3GNT5,META5,18
DCUN1D1,META5,18
HTR3D,META5,18
KLHL24,META5,18
KLHL6,META5,18
KLHL6-AS1,META5,18
LAMP3,META5,18
LINC00888,META5,18
LINC01994,META5,18
LINC01995,META5,18
MAP6D1,META5,18
MCCC1,META5,18
MCF2L2,META5,18
MIR4448,META5,18
PARL,META5,18
SNORA63D,META5,18
SNORA63E,META5,18
YEATS2,META5,18
YEATS2-AS1,META5,18
ABCA11P,META5,19
ATP5ME,META5,19
CPLX1,META5,19
CRIPAK,META5,19
CTBP1,META5,19
CTBP1-AS,META5,19
CTBP1-DT,META5,19
DGKQ,META5,19
FAM53A,META5,19
FGFR3,META5,19
FGFRL1,META5,19
GAK,META5,19
IDUA,META5,19
LETM1,META5,19
LOC100129917,META5,19
LOC100130872,META5,19
LOC105374338,META5,19
LOC105374344,META5,19
MAEA,META5,19
MIR571,META5,19
MYL5,META5,19
NKX1-1,META5,19
NSD2,META5,19
PCGF3,META5,19
PDE6B,META5,19
PIGG,META5,19
RNF212,META5,19
SLBP,META5,19
SLC26A1,META5,19
SLC49A3,META5,19
SPON2,META5,19
TACC3,META5,19
TMED11P,META5,19
TMEM129,META5,19
TMEM175,META5,19
TMEM271,META5,19
UVSSA,META5,19
ZNF141,META5,19
ZNF595,META5,19
ZNF718,META5,19
ZNF721,META5,19
ZNF732,META5,19
ZNF876P,META5,19
BST1,META5,20
C1QTNF7,META5,20
CC2D2A,META5,20
CD38,META5,20
CPEB2,META5,20
CPEB2-DT,META5,20
FAM200B,META5,20
FBXL5,META5,20
FGFBP1,META5,20
FGFBP2,META5,20
LDB2,META5,20
LINC00504,META5,20
LOC101929095,META5,20
PROM1,META5,20
TAPT1,META5,20
TAPT1-AS1,META5,20
CLRN2,META5,21
DCAF16,META5,21
FAM184B,META5,21
LAP3,META5,21
LCORL,META5,21
LINC02493,META5,21
MED28,META5,21
NCAPG,META5,21
QDPR,META5,21
SNORA75B,META5,21
ART3,META5,22
CCDC158,META5,22
CCNG2,META5,22
CCNI,META5,22
CDKL2,META5,22
CXCL10,META5,22
CXCL11,META5,22
CXCL9,META5,22
FAM47E,META5,22
FAM47E-STBD1,META5,22
G3BP2,META5,22
LINC02483,META5,22
LOC101928809,META5,22
MIR4450,META5,22
MIR548AH,META5,22
NAAA,META5,22
NUP54,META5,22
ODAPH,META5,22
PPEF2,META5,22
RCHY1,META5,22
SCARB2,META5,22
SDAD1,META5,22
SEPTIN11,META5,22
SHROOM3,META5,22
SOWAHB,META5,22
STBD1,META5,22
THAP6,META5,22
USO1,META5,22
CCSER1,META5,23
FAM13A,META5,23
FAM13A-AS1,META5,23
GPRIN3,META5,23
HERC3,META5,23
MMRN1,META5,23
SNCA,META5,23
SNCA-AS1,META5,23
TIGD2,META5,23
ANK2,META5,24
ARSJ,META5,24
CAMK2D,META5,24
LARP7,META5,24
LOC105377372,META5,24
MIR1243,META5,24
MIR302A,META5,24
MIR302B,META5,24
MIR302C,META5,24
MIR302CHG,META5,24
MIR302D,META5,24
MIR367,META5,24
MIR8082,META5,24
NEUROG2,META5,24
ZGRF1,META5,24
AADAT,META5,25
CBR4,META5,25
CLCN3,META5,25
HPF1,META5,25
LINC01612,META5,25
LINC02275,META5,25
MFAP3L,META5,25
NEK1,META5,25
PALLD,META5,25
SH3RF1,META5,25
C5orf64,META5,26
C5orf64-AS1,META5,26
DEPDC1B,META5,26
ELOVL7,META5,26
ERCC8,META5,26
LINC02057,META5,26
LOC101928651,META5,26
NDUFAF2,META5,26
PART1,META5,26
PDE4D,META5,26
SMIM15,META5,26
SMIM15-AS1,META5,26
ZSWIM6,META5,26
C5orf30,META5,27
GIN1,META5,27
LINC00491,META5,27
LINC00492,META5,27
LINC02115,META5,27
NUDT12,META5,27
PAM,META5,27
PPIP5K2,META5,27
SLCO4C1,META5,27
SLCO6A1,META5,27
C5orf15,META5,28
C5orf24,META5,28
C5orf66,META5,28
C5orf66-AS1,META5,28
C5orf66-AS2,META5,28
CAMLG,META5,28
CATSPER3,META5,28
CDKL3,META5,28
CDKN2AIPNL,META5,28
CXCL14,META5,28
DCANP1,META5,28
DDX46,META5,28
H2AFY,META5,28
JADE2,META5,28
LINC01843,META5,28
LOC102546229,META5,28
LOC105379183,META5,28
LOC107986453,META5,28
MIR3661,META5,28
MIR5692C1,META5,28
NEUROG1,META5,28
PCBD2,META5,28
PITX1,META5,28
PPP2CA,META5,28
SAR1B,META5,28
SEC24A,META5,28
SKP1,META5,28
SLC25A48,META5,28
SLC25A48-AS1,META5,28
TCF7,META5,28
TIFAB,META5,28
TXNDC15,META5,28
UBE2B,META5,28
VDAC1,META5,28
WSPAR,META5,28
GPX5,META5,29
GPX6,META5,29
GUSBP2,META5,29
HIST1H1B,META5,29
HIST1H2AG,META5,29
HIST1H2AH,META5,29
HIST1H2AI,META5,29
HIST1H2AJ,META5,29
HIST1H2AK,META5,29
HIST1H2AL,META5,29
HIST1H2AM,META5,29
HIST1H2BJ,META5,29
HIST1H2BK,META5,29
HIST1H2BL,META5,29
HIST1H2BM,META5,29
HIST1H2BN,META5,29
HIST1H2BO,META5,29
HIST1H3H,META5,29
HIST1H3I,META5,29
HIST1H3J,META5,29
HIST1H4I,META5,29
HIST1H4J,META5,29
HIST1H4K,META5,29
HIST1H4L,META5,29
LINC00240,META5,29
LINC00533,META5,29
LINC01012,META5,29
LOC100131289,META5,29
LOC100270746,META5,29
MIR3143,META5,29
NKAPL,META5,29
OR1F12,META5,29
OR2B2,META5,29
OR2B6,META5,29
PGBD1,META5,29
POM121L2,META5,29
PRSS16,META5,29
TOB2P1,META5,29
VN1R10P,META5,29
ZBED9,META5,29
ZKSCAN3,META5,29
ZKSCAN4,META5,29
ZKSCAN8,META5,29
ZNF165,META5,29
ZNF184,META5,29
ZNF192P1,META5,29
ZNF204P,META5,29
ZNF391,META5,29
ZSCAN12,META5,29
ZSCAN12P1,META5,29
ZSCAN16,META5,29
ZSCAN16-AS1,META5,29
ZSCAN23,META5,29
ZSCAN26,META5,29
ZSCAN31,META5,29
ZSCAN9,META5,29
ABCF1,META5,30
ATAT1,META5,30
C6orf136,META5,30
C6orf15,META5,30
CDSN,META5,30
DDR1,META5,30
DHX16,META5,30
FLOT1,META5,30
GABBR1,META5,30
GNL1,META5,30
GTF2H4,META5,30
HCG17,META5,30
