"GWAS","LOC_NUM","GENE","Pubmed hits","Pubmed hits gene only"
"META5",9,"SNORD89",0,2
"META5",9,"TBC1D8",0,5
"META5",9,"TBC1D8-AS1",0,0
"META5",9,"TMEM182",0,8
"META5",10,"ACMSD",16,68
"META5",10,"CCNT2",0,13
"META5",10,"CCNT2-AS1",0,0
"META5",10,"MAP3K19",0,7
"META5",10,"MGAT5",0,115
"META5",10,"MIR128-1",0,1
"META5",10,"MIR3679",0,0
"META5",10,"MIR5590",0,0
"META5",10,"R3HDM1",0,9
"META5",10,"RAB3GAP1",0,68
"META5",10,"SNORA40B",0,0
"META5",10,"TMEM163",7,20
"META5",10,"ZRANB3",0,31
"META5",11,"ABCB11",0,460
"META5",11,"B3GALT1",1,2
"META5",11,"CERS6",1,84
"META5",11,"CERS6-AS1",0,3
"META5",11,"DHRS9",0,30
"META5",11,"G6PC2",0,86
"META5",11,"LOC105616981",0,0
"META5",11,"LRP2",1,199
"META5",11,"MIR4774",0,0
"META5",11,"NOSTRIN",0,42
"META5",11,"SPC25",0,59
"META5",11,"STK39",19,88
"META5",11,"XIRP2",1,32
"META5",12,"KCNH8",0,11
"META5",12,"LOC105376975",0,0
"META5",12,"LOC339862",0,1
"META5",12,"MIR4791",0,0
"META5",12,"SATB1",3,428
"META5",12,"SATB1-AS1",0,2
"META5",12,"TBC1D5",2,24
"META5",13,"AZI2",0,15
"META5",13,"CMC1",0,84
"META5",13,"EOMES",0,581
"META5",13,"LINC00693",0,0
"META5",13,"LINC01980",0,2
"META5",13,"LINC01981",0,0
"META5",13,"RBMS3",1,41
"META5",13,"RBMS3-AS3",0,1
"META5",13,"ZCWPW2",0,2
"META5",14,"AMT",12,2144
"META5",14,"APEH",0,37
"META5",14,"ARIH2",0,13
"META5",14,"ARIH2OS",0,0
"META5",14,"ATRIP",0,153
"META5",14,"ATRIP-TREX1",0,0
"META5",14,"BSN",2,1307
"META5",14,"BSN-DT",0,0
"META5",14,"C3orf62",0,1
"META5",14,"C3orf84",0,0
"META5",14,"CAMP",335,85252
"META5",14,"CCDC36",0,2
"META5",14,"CCDC51",0,3
"META5",14,"CCDC71",0,0
"META5",14,"CDC25A",2,1023
"META5",14,"CELSR3",1,73
"META5",14,"COL7A1",0,479
"META5",14,"DAG1",0,79
"META5",14,"DALRD3",0,2
"META5",14,"DHX30",0,16
"META5",14,"FBXW12",0,3
"META5",14,"FCF1P2",0,0
"META5",14,"GPX1",18,1486
"META5",14,"IMPDH2",1,129
"META5",14,"IP6K2",0,30
"META5",14,"KLHDC8B",0,9
"META5",14,"LAMB2",1,133
"META5",14,"LAMB2P1",0,0
"META5",14,"LINC02585",0,0
"META5",14,"MAP4",2,330
"META5",14,"MIR1226",0,0
"META5",14,"MIR191",0,14
"META5",14,"MIR2115",0,0
"META5",14,"MIR425",0,4
"META5",14,"MIR4271",0,0
"META5",14,"MIR4443",0,1
"META5",14,"MIR4793",0,0
"META5",14,"MIR6823",0,0
"META5",14,"MIR6824",0,0
"META5",14,"MIR6890",0,0
"META5",14,"MIR711",0,1
"META5",14,"MST1",1,749
"META5",14,"NCKIPSD",0,2
"META5",14,"NDUFAF3",0,12
"META5",14,"NICN1",0,3
"META5",14,"NME6",1,10
"META5",14,"P4HTM",0,5
"META5",14,"PFKFB4",0,65
"META5",14,"PLXNB1",0,27
"META5",14,"PRKAR2A",0,34
"META5",14,"PRKAR2A-AS1",0,0
"META5",14,"QARS",0,30
"META5",14,"QRICH1",0,3
"META5",14,"RHOA",19,9843
"META5",14,"RNF123",0,11
"META5",14,"SHISA5",0,2
"META5",14,"SLC25A20",1,35
"META5",14,"SLC26A6",1,209
"META5",14,"SMARCC1",0,50
"META5",14,"SNORA94",0,0
"META5",14,"SPINK8",0,2
"META5",14,"TCTA",0,109
"META5",14,"TMA7",0,3
"META5",14,"TMEM89",0,0
"META5",14,"TREX1",0,276
"META5",14,"UCN2",1,144
"META5",14,"UQCRC1",3,65
"META5",14,"USP19",2,46
"META5",14,"USP4",1,107
"META5",14,"WDR6",0,12
"META5",14,"ZNF589",0,5
"META5",15,"ADCY5",0,129
"META5",15,"ARGFX",0,8
"META5",15,"CASR",0,1600
"META5",15,"CCDC58",0,3
"META5",15,"CD86",7,8410
"META5",15,"CSTA",0,85
"META5",15,"DTX3L",0,18
"META5",15,"EAF2",0,64
"META5",15,"FAM162A",1,7
"META5",15,"FBXO40",0,15
"META5",15,"GOLGB1",0,18
"META5",15,"HCLS1",0,42
"META5",15,"HSPBAP1",0,12
"META5",15,"ILDR1",0,34
"META5",15,"IQCB1",0,38
"META5",15,"KPNA1",1,39
