"Gene","GTEX_BRAIN_all","GTEX_nigra","Astrocyte","DaN","Endothelial","GABA","Microglia","ODC","OPC"
"SPNS1",24.0395297235895,15.0623260869565,38.2367347479799,23.260292506562,70.5794946237892,41.8360891654528,52.6315214991207,31.6809900962873,33.5064288450231
"SPON2",7.92802731541083,0.57911768115942,3.09194402251445,0,0,1.78105117840956,11.8820432156543,2.19221356417555,1.77771283878642
"SPPL2B",28.0685834911019,16.4165289855072,126.556302590595,51.6227107126617,177.142797922034,38.8456185246776,43.6762339655947,72.8626738897186,58.3907144674722
"SPPL2C",0.795748625141992,0.0627896594202899,NA,NA,NA,NA,NA,NA,NA
"SPRYD7",14.5122791366906,11.8130797101449,31.7672729864584,85.43135579498,23.9450328572477,59.2990538517002,25.0575860626472,36.5751777745429,38.713361530722
"SPTSSB",6.2551129761454,2.05889702898551,4.46564024033863,19.0559058407496,0,37.6532944057063,0,1.38086736983631,3.95351299743773
"SRCAP",16.6831410829231,9.17758695652174,0,0,0,0,0,0.612897298441479,0
"SRGAP2",28.8656589928058,9.7160652173913,432.221910661791,90.4137059072449,172.562703268551,161.112447593471,1322.14454780308,99.4579605771586,150.79467477674
"SRGAP2D",1.82325388110564,0.360300217391304,NA,NA,NA,NA,NA,NA,NA
"SRP9",148.627463082166,162.693043478261,114.548107428691,148.007968905573,59.2270104574666,170.406518316085,103.191644924107,105.965356324689,111.624740651927
"SSR2",52.1348614161303,43.8477536231884,44.201658735531,44.2253880081242,173.212443964098,45.1860205280797,67.3958596109594,52.094815410193,77.8974733491476
"SSTR1",5.36723229837183,7.10373188405797,1.02425466287009,11.4943553237989,0,5.72464911292936,0,0.0771641081026771,25.4879733700189
"ST13P4",0.145518031048845,0.157567101449275,NA,NA,NA,NA,NA,NA,NA
"STAG3L4",7.082365051117,6.91642028985507,NA,NA,NA,NA,NA,NA,NA
"STARD7",87.0361832639152,78.728768115942,51.1097219283999,40.9211816527083,92.582721168709,46.6780063595157,41.2562595990842,73.940088709686,35.0226929985878
"STARD7-AS1",2.38794369556986,2.02120144927536,NA,NA,NA,NA,NA,NA,NA
"STAT3",26.1254687618326,26.0443768115942,174.524098516874,66.8717050773064,314.643690894471,58.824454284861,322.012081270748,105.525113416717,96.0599001626666
"STAT5A",4.89023267701628,5.95334782608696,13.6035021602179,4.61649094679543,9.7716775385531,5.22398541228738,31.2612688590414,9.89391276201062,2.84649635377342
"STAT5B",38.2634108292314,22.7718115942029,73.732631578403,50.9273643450707,146.369688969987,77.9603775271946,52.3107042831929,78.5457629776459,59.2642703113868
"STBD1",4.61939394168875,6.15067391304348,NA,NA,NA,NA,NA,NA,NA
"STEAP1B",0.932627841726619,1.56671644927536,47.8857202979178,18.9452843063246,67.4471879689585,43.997806825763,148.863115789316,84.5423392943863,45.5780419551557
"STH",0.622447629685725,0.25777884057971,NA,NA,NA,NA,NA,NA,NA
