"GENE","Pval.Imputed","Pval.Exome"
"C1orf189",NA,0.72290206542779
"C1orf226",0.757371,0.459934906278182
"C1orf43",0.936493,0.187707111993883
"C2",0.218161,0.0107224633775174
"C2-AS1",NA,NA
"C2CD4A",0.614313,0.177101909520794
"C2CD4B",NA,0.254214416497928
"C3orf62",0.35265,0.248229416453008
"C3orf84",NA,NA
"C4A",NA,0.191683983215719
"C4B",NA,0.191683983215719
"C4B_2",NA,NA
"C5orf15",0.84971,0.247892623589452
"C5orf24",NA,0.569837196680027
"C5orf30",NA,0.156827474010734
"C5orf64",0.583585,0.593296835743661
"C5orf64-AS1",NA,NA
"C5orf66",NA,NA
"C5orf66-AS1",NA,NA
"C5orf66-AS2",NA,NA
"C6orf136",1,0.316450437607044
"C6orf15",0.347058,0.19087041702154
"C6orf47",0.772816,0.560796531476879
"C8orf49",NA,NA
"C8orf58",0.582676,0.520785638545072
"C9orf131",0.487642,0.0205683420627629
"C9orf24",NA,0.334700860139677
"CAB39L",0.750321,0.343496048546868
"CACUL1",NA,NA
"CALN1",NA,0.0060277857286406
"CAMK2D",1,0.0438431067155486
"CAMLG",NA,0.305667676225888
"CAMP",0.281711,0.318034910256138
"CAND1.11",NA,NA
"CANT1",0.0946502,0.530899908753635
"CASC16",NA,NA
"CASC20",NA,NA
"CASC22",NA,NA
"CASR",0.808076,0.00525982310856232
"CATSPER3",0.000117063,0.177913764133931
"CAVIN1",NA,NA
"CBR4",0.310944,0.199137232970939
"CC2D2A",0.233326,0.0295862697070702
"CCAR2",NA,NA
"CCDC103",0.43223,0.0317956942118538
"CCDC126",NA,0.362337046659976
"CCDC158",0.0206963,0.0911979600293967
"CCDC178",NA,NA
"CCDC189",NA,NA
"CCDC200",NA,NA
"CCDC26",NA,NA
"CCDC36",0.235466,0.235100521064276
"CCDC43",NA,0.678793729453946
"CCDC51",0.334515,0.377968768390336
"CCDC58",NA,0.482655627970272
"CCDC62",0.135785,0.060661633690017
"CCDC71",0.369368,0.336877809130187
"CCDC90B",0.58979,0.0682645415117771
"CCL19",NA,0.366981881439019
"CCL21",NA,0.369461114735316
"CCL27",NA,0.00782736545777041
"CCN2",NA,NA
"CCN6",NA,NA
"CCNG2",0.411056,0.263264890899806
"CCNI",NA,0.714943270502596
"CCNT2",NA,0.277167184697149
"CCNT2-AS1",NA,NA
"CCP110",NA,NA
"CCR10",0.602446,0.157378335513101
"CCSER1",NA,NA
"CCT6P1",NA,NA
"CD19",NA,0.31200325686414
"CD244",0.792419,0.0517362906035518
"CD2BP2",0.0818901,0.201146431859289
"CD300LG",0.240865,0.666554586001394
"CD38",0.198957,0.212840053792031
"CD48",0.539631,0.0188444637848775
"CD68",0.167856,0.774743176711192
"CD84",NA,0.625139915237713
"CD86",0.184231,0.0387553709039593
"CDADC1",0.375488,0.175064475805093
"CDC25A",0.527842,0.153954800523526
"CDC27",NA,8.80053186283663e-08
"CDC42BPA",NA,0.0400161838634678
"CDIPT",NA,0.577551800564752
"CDIPTOSP",NA,NA
"CDK18",0.203633,0.507270220598752
"CDK2AP1",NA,NA
"CDKL2",0.206056,0.137771560943315
"CDKL3",0.0764419,0.372373344529277
"CDKN2AIPNL",NA,0.844385084223274
"CDKN3",0.332821,0.163118185239012
"CDNF",0.202393,0.567467179835971
"CDS2",NA,0.60647166931538
"CDSN",0.539972,0.260737920607447
"CELF5",NA,0.0358617884962249
"CELSR3",0.138366,0.00238475024683534
"CEP295NL",NA,NA
"CERS6",NA,NA
"CERS6-AS1",NA,NA
"CFAP126",NA,NA
"CFAP53",NA,NA
"CFAP97D1",NA,NA
"CFB",0.590024,0.248752233986479
"CGRRF1",0.434694,0.177528332237414
"CHD3",0.261104,0.000216631993938762
"CHD9",0.23364,0.0717844691828703
"CHFR",8.87749e-05,0.106943224486718
"CHGB",0.359752,0.0687858472818783
"CHMP5",NA,0.398063577268007
"CHMP7",0.99266,0.793684303477079
"CHRNB1",0.0990871,0.306326029273848
"CHRNB2",0.206885,0.661152465970486
"CIAO1",0.341073,0.523071240913475
"CKS1B",NA,0.158570647463481
"CLCN3",NA,0.480231156005741
"CLDN14",0.605564,0.133125160919206
"CLDN7",0.103797,3.83790908196069e-05
"CLEC10A",0.484205,0.199475065086723
"CLEC14A",NA,0.589357908780495
"CLEC19A",NA,NA
"CLIC1",0.09293,0.0734648125364754
"CLIP1",0.167926,0.0489238160547503
"CLIP1-AS1",NA,NA
"CLK2",0.0808201,0.246921745811857
"CLK2P1",NA,NA
"CLN3",0.664935,0.0678962335887917
"CLRN1",NA,0.356782089312557
"CLRN1-AS1",NA,NA
"CLRN2",0.896851,0.233677922720664
"CLUHP3",NA,NA
"CMC1",NA,0.299348834125134
"CNEP1R1",NA,NA
"CNIH1",NA,NA
"CNNM2",NA,0.0574333409258541
"CNOT11",NA,NA
"CNOT7",NA,0.612334292788475
"CNP",NA,0.503991264785712
"CNTD1",0.52735,0.0628393737854073
"CNTFR",NA,0.0299040988346558
"CNTFR-AS1",NA,NA
"CNTLN",0.259382,0.0852970843831466
"CNTN1",NA,0.41681199843232
"CNTN2",0.200981,0.286585692156443
"CNTNAP1",0.306787,0.0271749122691832
"CNTROB",NA,0.147086710026046
"COA3",NA,NA
"COASY",0.122525,0.197233339420002
"COL11A2",0.290504,0.0397404113078894
"COL4A3BP",0.30042,0.227470440020129
"COL7A1",0.35856,0.067452958433462
"COQ6",0.270078,0.0700977189382883
"COQ7",NA,0.175633829224181
"COQ8A",NA,NA
"CORO1A",0.00139659,0.147448510083184
"COX6A2",NA,0.60584926284256
"CPEB2",NA,0.243851585749286
"CPEB2-DT",NA,NA
"CPLX1",NA,0.102064431059421
"CRCP",NA,0.485177147609674
"CREB3L4",0.613282,0.681410430698635
"CREG2",0.321406,0.095158947108551
"CRHBP",NA,0.0223913692222579
"CRHR1",0.307845,0.0810961581296248
"CRIPAK",0.317128,0.0226257924466952
"CRLS1",0.298082,NA
"CRTC2",NA,0.691639545080969
"CSNK1G2",0.236822,0.0391701216410674
"CSNK1G2-AS1",NA,NA
"CSNK2A3",NA,NA
"CSNK2B",NA,0.198437060134294
"CSTA",NA,0.460366333594264
"CTAGE10P",NA,NA
"CTBP1",NA,0.0940490952465063
"CTBP1-AS",NA,NA
"CTBP1-DT",NA,NA
"CTC1",0.102792,0.36467033540324
"CTDNEP1",NA,NA
"CTF1",NA,0.109320413020017
"CTR9",0.20908,0.0448996683856469
"CTSB",0.0923475,0.185429710834628
"CTSE",0.0925209,0.0283261883561652
"CUEDC2",0.681272,0.488118913983423
"CUTA",0.0597798,0.125878410966618
"CXCL10",0.199103,0.114299362700398
"CXCL11",0.289286,0.314785400171279
"CXCL14",0.243026,0.0352171011180193
"CXCL9",0.235588,0.389613689442267
"CXXC1",NA,0.0192491848451335
"CYB5D1",1,0.00529569755399599
"CYLD",NA,0.618507188345718
"CYP17A1",0.987481,0.338235096552109
"CYP21A1P",NA,NA
"CYP21A2",0.557549,0.06081645539879
"CYSLTR2",0.17615,0.149181760321487
"CYTH1",NA,0.276012666142396
"DAG1",0.420205,0.978548362578059
"DALRD3",NA,0.250578537342763
"DAP3",0.233696,0.442281210675671
"DAXX",NA,0.384124813211622
"DAZAP1",NA,0.0761114822533898
"DBF4B",0.20066,0.33685103628339
"DBX2",1,0.0729087522490433
"DCAF12",NA,0.208406031725489
"DCAF16",0.876416,0.771426192533598
"DCAKD",0.329583,0.314037203290118
"DCANP1",NA,NA
"DCLRE1C",NA,0.0298496074017438
"DCLRE1CP1",NA,NA
"DCST1",0.417979,0.270211166910657
"DCST1-AS1",NA,NA
"DCST2",0.225156,0.178312156752052
"DCTN3",NA,0.0898199003510439
"DCTPP1",NA,0.30175352720122
"DCUN1D1",NA,0.319940295876207
"DDAH2",NA,0.0555167810371566
"DDIAS",NA,NA
"DDR1",0.314369,0.110726635428552
"DDX46",NA,0.63851582170506
"DDX51",0.74407,0.434432349554466
"DDX55",0.0116682,0.0514616522673983
"DEDD",NA,0.359914262711206
"DEFB109A",NA,NA
"DEFB130A",NA,NA
"DEFB130B",NA,NA
"DEFB134",NA,0.0342921622280394
"DEFB135",NA,0.107313376659964
"DEFB136",NA,0.554457544747371
"DENND4B",NA,0.0274915537428493
"DENR",0.403674,0.0304105684583809
"DEPDC1B",0.418486,0.310415821922657
"DGKQ",1,0.245726728437625
"DHRS9",0.716112,0.0652980827666338
"DHX16",0.252087,0.288480303375082
"DHX30",NA,0.0634927991227873
"DHX58",0.0642749,0.254443302239579
"DHX8",0.400127,0.0266373082581676
"DIABLO",0.563849,0.0479757120816703
"DIRAS1",NA,0.688700972487419
"DISC1",0.245828,0.0781716311185965
"DISC1-IT1",NA,NA
"DISC2",NA,0.206363053276094
"DLEU1",NA,NA
"DLEU2",NA,0.254110125762731
"DLG2",1,0.589773144698985
"DLG4",0.0828949,0.227285609520406
"DLGAP5",0.261534,0.028975174829077
"DLST",0.935622,0.620037539458416
"DMTN",NA,NA
"DNAH10",0.163791,0.0728951390800794
"DNAH17",0.826728,0.0425396869189695
"DNAH17-AS1",NA,NA
"DNAH2",0.509471,0.139203469938616
"DNAI1",0.994754,0.716240445141799
"DNAJB5",NA,0.289049391990793
"DNAJB5-DT",NA,NA
"DNAJC7",0.0916332,0.891065729325842
